Shop ID,Total Number of Listings
Shop_134,4230
Shop_16056,4219
Shop_16282,4211
Shop_5921,4210
Shop_129,4207
Shop_380,4204
Shop_49103,4191
Shop_5280,4185
Shop_685,4181
Shop_1654,4176
Shop_8218,4169
Shop_3574,4161
Shop_28394,4153
Shop_38557,4146
Shop_549,4145
Shop_86250,4139
Shop_19022,4131
Shop_689,4102
Shop_8561,4101
Shop_6041,4100
Shop_17455,4093
Shop_5141,4088
Shop_6800,4087
Shop_4331,4079
Shop_309,4068
Shop_25617,4059
Shop_630,4057
Shop_16931,4048
Shop_5249,4034
Shop_10292,4031
Shop_20385,4020
Shop_4394,4018
Shop_44551,4016
Shop_3528,4011
Shop_1345,4008
Shop_38600,4000
Shop_488,3996
Shop_34901,3995
Shop_200,3991
Shop_2878,3991
Shop_1116,3990
Shop_6871,3973
Shop_30830,3972
Shop_24,3969
Shop_216,3968
Shop_9157,3961
Shop_30867,3953
Shop_35070,3938
Shop_40020,3932
Shop_306,3931
Shop_20694,3930
Shop_12235,3929
Shop_4783,3925
Shop_7464,3923
Shop_112956,3920
Shop_49525,3917
Shop_457,3899
Shop_935,3896
Shop_978,3894
Shop_2311,3885
Shop_350,3880
Shop_731,3873
Shop_8557,3872
Shop_5337,3862
Shop_3868,3862
Shop_11569,3856
Shop_115088,3855
Shop_233,3851
Shop_1150,3842
Shop_16304,3837
Shop_4604,3836
Shop_7961,3823
Shop_1193,3819
Shop_565,3813
Shop_6096,3810
Shop_42,3810
Shop_6162,3810
Shop_9117,3808
Shop_9140,3797
Shop_2735,3795
Shop_4478,3789
Shop_4086,3786
Shop_3576,3784
Shop_33857,3761
Shop_40282,3761
Shop_107,3749
Shop_3154,3748
Shop_12030,3740
Shop_15630,3735
Shop_2277,3734
Shop_93149,3733
Shop_4597,3727
Shop_16328,3714
Shop_740,3711
Shop_4284,3710
Shop_1976,3704
Shop_37413,3698
Shop_1434,3698
Shop_10028,3694
Shop_7332,3689
Shop_8749,3689
Shop_29464,3684
Shop_10343,3680
Shop_3,3680
Shop_262,3662
Shop_1427,3661
Shop_1898,3646
Shop_633,3643
Shop_6601,3635
Shop_288,3634
Shop_95,3626
Shop_41246,3621
Shop_7355,3609
Shop_8173,3608
Shop_9559,3607
Shop_1580,3606
Shop_1510,3595
Shop_873,3593
Shop_10354,3578
Shop_482,3575
Shop_559,3574
Shop_17029,3572
Shop_10690,3567
Shop_1014,3564
Shop_45215,3560
Shop_7301,3554
Shop_30386,3539
Shop_9827,3531
Shop_12012,3526
Shop_7808,3521
Shop_24299,3519
Shop_6159,3518
Shop_2044,3516
Shop_231,3516
Shop_8162,3515
Shop_18222,3514
Shop_1649,3505
Shop_207,3487
Shop_2856,3483
Shop_37937,3481
Shop_6533,3480
Shop_2894,3475
Shop_6310,3473
Shop_3681,3472
Shop_41588,3469
Shop_758,3468
Shop_36557,3466
Shop_3622,3464
Shop_202,3456
Shop_558,3453
Shop_5285,3453
Shop_2215,3449
Shop_931,3445
Shop_67772,3444
Shop_6081,3437
Shop_26146,3433
Shop_737,3431
Shop_18991,3427
Shop_18129,3423
Shop_3720,3423
Shop_168,3423
Shop_27652,3412
Shop_55217,3410
Shop_2686,3394
Shop_1242,3394
Shop_2943,3392
Shop_195,3388
Shop_1229,3383
Shop_69226,3381
Shop_35037,3368
Shop_71,3357
Shop_1326,3353
Shop_2690,3345
Shop_2388,3344
Shop_2000,3341
Shop_45388,3339
Shop_66950,3337
Shop_1178,3335
Shop_83787,3333
Shop_361,3331
Shop_1752,3328
Shop_24229,3327
Shop_51471,3326
Shop_324,3326
Shop_2830,3325
Shop_7964,3320
Shop_1284,3316
Shop_20992,3314
Shop_412,3311
Shop_298,3308
Shop_857,3307
Shop_33070,3306
Shop_5860,3300
Shop_97,3300
Shop_5448,3298
Shop_205,3284
Shop_10403,3283
Shop_26468,3277
Shop_4995,3275
Shop_4059,3275
Shop_13395,3272
Shop_4421,3272
Shop_67793,3272
Shop_12452,3272
Shop_2503,3269
Shop_15081,3261
Shop_53891,3260
Shop_3193,3257
Shop_153,3255
Shop_5465,3254
Shop_5012,3253
Shop_14625,3250
Shop_12898,3248
Shop_2216,3247
Shop_14048,3242
Shop_6496,3236
Shop_7144,3234
Shop_50561,3232
Shop_1992,3226
Shop_3478,3226
Shop_16593,3225
Shop_46242,3220
Shop_49388,3220
Shop_2703,3219
Shop_2266,3212
Shop_6632,3199
Shop_31981,3195
Shop_11387,3194
Shop_4545,3190
Shop_66732,3190
Shop_7214,3185
Shop_3560,3176
Shop_17952,3174
Shop_2661,3174
Shop_5367,3173
Shop_36124,3172
Shop_59333,3172
Shop_6442,3167
Shop_25327,3167
Shop_3400,3166
Shop_1469,3152
Shop_9651,3150
Shop_5369,3150
Shop_2762,3146
Shop_45517,3144
Shop_19144,3143
Shop_3162,3143
Shop_36516,3138
Shop_45966,3132
Shop_2240,3131
Shop_1399,3119
Shop_3103,3108
Shop_670,3103
Shop_1203,3102
Shop_304,3101
Shop_57,3101
Shop_67444,3099
Shop_66,3098
Shop_12436,3096
Shop_27075,3090
Shop_854,3088
Shop_79587,3087
Shop_1319,3085
Shop_1905,3084
Shop_4658,3076
Shop_1608,3059
Shop_517,3055
Shop_13283,3044
Shop_11861,3044
Shop_34788,3043
Shop_2015,3037
Shop_34791,3031
Shop_9206,3031
Shop_5657,3030
Shop_19310,3024
Shop_83170,3021
Shop_61762,3020
Shop_645,3020
Shop_966,3020
Shop_7124,3013
Shop_40478,3012
Shop_31579,3009
Shop_7706,3009
Shop_2137,3009
Shop_29860,3007
Shop_45860,3006
Shop_45291,3003
Shop_351,3001
Shop_32472,3000
Shop_5695,2999
Shop_18458,2994
Shop_546,2991
Shop_25767,2983
Shop_22448,2981
Shop_15889,2978
Shop_583,2974
Shop_2655,2974
Shop_889,2974
Shop_42127,2970
Shop_9500,2966
Shop_20893,2966
Shop_11286,2965
Shop_46057,2964
Shop_597,2962
Shop_3869,2960
Shop_39821,2956
Shop_9639,2953
Shop_436,2949
Shop_23332,2944
Shop_5093,2936
Shop_550,2936
Shop_6598,2932
Shop_56065,2931
Shop_1957,2929
Shop_4178,2924
Shop_8774,2923
Shop_32270,2922
Shop_2779,2922
Shop_844,2922
Shop_7551,2918
Shop_16868,2912
Shop_15877,2910
Shop_68250,2909
