Shop ID,Total Number of Sales
Shop_111501,87
Shop_149452,1
Shop_119215,50
Shop_153746,
Shop_83305,429
Shop_149062,1
Shop_138881,7
Shop_150055,1
Shop_113842,74
Shop_142820,4
Shop_119834,47
Shop_92918,262
Shop_123911,34
Shop_145354,2
Shop_134446,12
Shop_136605,9
Shop_88137,336
Shop_69857,804
Shop_149985,1
Shop_121268,43
Shop_107175,116
Shop_132107,15
Shop_158989,
Shop_131141,17
Shop_63446,1067
Shop_121516,42
Shop_155609,
Shop_144647,3
Shop_100802,170
Shop_102543,153
Shop_94830,237
Shop_153266,
Shop_115235,67
Shop_118358,53
Shop_129353,21
Shop_131741,16
Shop_142844,4
Shop_164269,
Shop_107421,114
Shop_63731,1055
Shop_46360,2244
Shop_151670,
Shop_86087,372
Shop_70402,784
Shop_122748,38
Shop_57392,1379
Shop_138188,8
Shop_162323,
Shop_134844,11
Shop_138240,7
Shop_128759,22
Shop_126393,27
Shop_101298,165
Shop_132667,15
Shop_124560,32
Shop_146280,2
Shop_162904,
Shop_162905,
Shop_124098,34
Shop_58792,1299
Shop_110818,91
Shop_91707,279
Shop_156067,
Shop_162493,
Shop_161104,
Shop_139808,6
Shop_113157,77
Shop_124197,33
Shop_140030,6
Shop_125575,29
Shop_145028,3
Shop_109187,102
Shop_92556,267
Shop_145817,2
Shop_132964,14
Shop_133510,13
Shop_158540,
Shop_146184,2
Shop_152795,
Shop_119199,50
Shop_140072,6
Shop_117041,58
Shop_123581,35
Shop_148157,1
Shop_146970,2
Shop_150885,1
Shop_157342,
Shop_145388,2
Shop_131157,17
Shop_154155,
Shop_109397,100
Shop_77510,565
Shop_162059,
Shop_95944,223
Shop_50772,1840
Shop_84093,411
Shop_106594,120
Shop_93174,259
Shop_137178,9
Shop_118847,51
Shop_154908,
Shop_130589,18
Shop_131750,16
Shop_72803,705
Shop_90387,299
Shop_113214,77
Shop_25408,6254
Shop_124438,33
Shop_48987,1994
Shop_153793,
Shop_139755,6
Shop_130874,18
Shop_140495,5
Shop_133684,13
Shop_159164,
Shop_155293,
Shop_134056,13
Shop_155106,
Shop_155107,
Shop_121088,43
Shop_157226,
Shop_78818,532
Shop_88768,325
Shop_86358,367
Shop_84772,398
Shop_131022,17
Shop_128579,22
Shop_114406,71
Shop_160067,
Shop_128538,22
Shop_48292,2056
Shop_154623,
Shop_106822,118
Shop_71714,740
Shop_142017,4
Shop_115289,66
Shop_99735,180
Shop_151741,
Shop_151742,
Shop_131206,17
Shop_158835,
Shop_150873,1
Shop_121714,41
Shop_160618,
Shop_68277,865
Shop_145679,2
Shop_144386,3
Shop_118778,52
Shop_86926,356
Shop_87533,346
Shop_163148,
Shop_78218,547
Shop_132091,15
Shop_129571,20
Shop_85664,380
Shop_136678,9
Shop_121426,42
Shop_65828,964
Shop_106811,119
Shop_39427,3076
Shop_75382,625
Shop_111737,86
Shop_82679,441
Shop_56490,1434
Shop_124904,31
Shop_99973,178
Shop_97991,199
Shop_127049,26
Shop_124651,32
Shop_149450,1
Shop_94340,243
Shop_44162,2477
Shop_110240,95
Shop_137460,8
Shop_90741,294
Shop_157602,
Shop_88935,323
Shop_119092,50
Shop_124993,31
Shop_115292,66
Shop_150903,1
Shop_141074,5
Shop_115331,66
Shop_151904,
Shop_124899,31
Shop_133071,14
Shop_152150,
Shop_127780,24
Shop_129144,21
Shop_123158,36
Shop_75448,623
Shop_154148,
Shop_144237,3
Shop_150012,1
Shop_125860,29
Shop_123936,34
Shop_146366,2
Shop_134486,12
Shop_53504,1639
Shop_133934,13
Shop_134211,12
Shop_143051,4
Shop_156015,
Shop_152898,
Shop_142327,4
Shop_125904,29
Shop_66381,940
Shop_150918,1
Shop_130185,19
Shop_133455,13
Shop_136299,10
Shop_136300,10
Shop_142976,4
Shop_133967,13
Shop_90270,302
Shop_139936,6
Shop_107850,111
Shop_138626,7
Shop_112994,78
Shop_142674,4
Shop_132427,15
Shop_123889,34
Shop_107865,111
Shop_101122,167
Shop_88018,338
Shop_86544,363
Shop_141736,5
Shop_150201,1
Shop_140995,5
Shop_84447,404
Shop_84154,410
