Shop ID,Total Number of Sales
Shop_76343,597
Shop_115861,64
Shop_66416,939
Shop_66417,939
Shop_94901,236
Shop_19201,9199
Shop_1987,71832
Shop_5706,32022
Shop_18407,9721
Shop_69975,799
Shop_44222,2470
Shop_77549,565
Shop_107231,115
Shop_67440,899
Shop_5469,33180
Shop_47223,2154
Shop_43431,2560
Shop_101616,162
Shop_32952,4188
Shop_86700,360
Shop_27649,5530
Shop_120153,46
Shop_127913,24
Shop_136987,9
Shop_139774,6
Shop_45465,2332
Shop_101434,164
Shop_75508,622
Shop_6259,29625
Shop_131079,17
Shop_53937,1606
Shop_20735,8333
Shop_47362,2142
Shop_105332,130
Shop_87918,339
Shop_45905,2288
Shop_56558,1430
Shop_6005,30609
Shop_93666,252
Shop_92932,262
Shop_75566,620
Shop_43125,2595
Shop_71157,757
Shop_117622,56
Shop_70896,767
Shop_84669,400
Shop_67336,903
Shop_20056,8706
Shop_48145,2068
Shop_95866,224
Shop_26554,5866
Shop_23295,7085
Shop_19469,9053
Shop_73862,671
Shop_30876,4668
Shop_16733,10910
Shop_29783,4925
Shop_18299,9776
Shop_56565,1429
Shop_79060,525
Shop_139351,6
Shop_59022,1286
Shop_34458,3885
Shop_100457,173
Shop_88946,322
Shop_26158,5999
Shop_65456,980
Shop_50064,1899
Shop_110035,96
Shop_91407,284
Shop_47394,2138
Shop_38813,3165
Shop_57203,1391
Shop_48958,1996
Shop_7317,25951
Shop_58222,1331
Shop_99459,183
Shop_91421,284
Shop_100835,169
Shop_112486,81
Shop_97808,201
Shop_47549,2125
Shop_115732,64
Shop_44518,2436
Shop_26137,6004
Shop_69563,816
Shop_145252,2
Shop_108684,105
Shop_113934,73
Shop_116685,60
Shop_22473,7459
Shop_27454,5586
Shop_38890,3151
Shop_76070,605
Shop_77882,556
Shop_55760,1480
Shop_27620,5537
Shop_14224,13209
Shop_96720,214
Shop_24552,6559
Shop_6197,29846
Shop_7718,24732
Shop_3974,43026
Shop_65930,959
Shop_3189,51189
Shop_88796,325
Shop_50033,1902
Shop_17733,10169
Shop_20710,8344
Shop_5861,31318
Shop_112653,80
Shop_79912,505
Shop_73644,677
Shop_48074,2074
Shop_97552,204
Shop_67209,908
Shop_43561,2545
Shop_35998,3614
Shop_56230,1450
Shop_27904,5448
Shop_122879,37
Shop_77020,578
Shop_20046,8710
Shop_96075,222
Shop_5823,31504
Shop_11818,16238
Shop_95960,223
Shop_19806,8844
Shop_107232,115
Shop_45006,2380
Shop_19173,9214
Shop_78932,529
Shop_53291,1653
Shop_64710,1013
Shop_39316,3091
Shop_108017,110
Shop_84170,410
Shop_108318,108
Shop_11484,16752
Shop_47097,2168
Shop_63212,1078
Shop_85688,379
Shop_103129,148
Shop_68487,857
Shop_16070,11431
Shop_5316,34022
Shop_2782,56430
Shop_39203,3106
Shop_2021,71055
Shop_20734,8334
Shop_25537,6208
Shop_20321,8573
Shop_34802,3823
Shop_85844,377
Shop_52499,1711
Shop_26845,5783
Shop_15708,11762
Shop_9343,20732
Shop_43597,2540
Shop_24283,6671
Shop_68845,843
Shop_31486,4520
Shop_22288,7542
Shop_36038,3607
Shop_74976,637
Shop_9481,20446
Shop_4532,38852
Shop_94999,235
Shop_74242,659
Shop_119596,48
Shop_48953,1997
Shop_47334,2144
Shop_77956,554
Shop_46654,2213
Shop_36150,3591
Shop_110276,94
Shop_8344,23026
Shop_103373,146
Shop_9161,21167
Shop_48753,2013
Shop_17432,10383
Shop_13168,14415
Shop_107293,115
Shop_16994,10693
Shop_41560,2785
Shop_94251,245
Shop_35521,3693
Shop_40283,2957
Shop_98892,189
Shop_18436,9705
Shop_25874,6090
Shop_74091,664
Shop_53164,1662
Shop_28635,5242
Shop_150554,1
Shop_144243,3
Shop_818,126890
Shop_104346,138
Shop_66191,949
Shop_58198,1333
Shop_23933,6812
Shop_44567,2431
Shop_7563,25152
Shop_34572,3864
Shop_52401,1718
Shop_42827,2631
Shop_9516,20357
Shop_45428,2337
Shop_47551,2124
Shop_134513,12
Shop_43212,2586
Shop_7288,26060
Shop_68753,847
Shop_24187,6714
Shop_102829,151
Shop_28075,5398
Shop_23548,6988
Shop_22782,7307
Shop_15695,11777
Shop_51039,1821
Shop_61437,1163
Shop_33551,4071
Shop_63866,1049
Shop_97942,200
Shop_100230,176
Shop_88355,332
Shop_161809,
Shop_161808,
Shop_59662,1253
Shop_89486,314
Shop_34820,3821
Shop_574,155440
Shop_53106,1666
Shop_84730,398
Shop_69084,834
Shop_76328,597
Shop_9945,19484
Shop_58827,1297
Shop_81280,473
Shop_62851,1094
Shop_41135,2842
Shop_73842,671
Shop_75772,614
Shop_73979,667
Shop_76318,598
Shop_14854,12538
Shop_9305,20793
Shop_48329,2053
Shop_22481,7456
Shop_59278,1273
Shop_1914,73272
Shop_106404,122
Shop_73313,689
Shop_106442,121
Shop_96495,217
Shop_96783,213
Shop_119822,47
Shop_36346,3560
Shop_16235,11296
Shop_47812,2099
Shop_8099,23704
Shop_7640,24907
Shop_46931,2185
Shop_52333,1722
Shop_11655,16503
Shop_108764,105
Shop_87127,353
Shop_50712,1845
Shop_24869,6448
Shop_5324,33966
Shop_121930,40
Shop_20175,8640
Shop_38277,3246
Shop_41735,2765
Shop_48604,2027
Shop_18177,9853
Shop_63155,1080
Shop_31915,4415
Shop_33648,4052
Shop_42532,2665
Shop_42533,2665
Shop_14461,12956
Shop_66377,940
Shop_118787,51
Shop_2766,56747
Shop_95811,225
Shop_97220,208
Shop_128056,23
Shop_135539,11
Shop_51368,1796
Shop_89232,318
Shop_30643,4720
Shop_77541,565
Shop_1716,78528
Shop_106662,120
Shop_1899,73721
Shop_40870,2874
Shop_67123,911
Shop_71787,738
Shop_129940,20
Shop_13965,13506
Shop_18460,9686
Shop_65145,994
Shop_78079,551
Shop_65792,966
Shop_4266,40734
Shop_104375,138
Shop_104376,138
Shop_26013,6043
Shop_84836,396
Shop_25316,6287
Shop_25368,6269
Shop_2427,62613
Shop_20541,8448
Shop_64290,1031
Shop_4883,36616
Shop_11439,16810
Shop_30690,4708
Shop_32457,4294
Shop_52230,1729
Shop_59798,1245
Shop_137523,8
Shop_77363,570
Shop_139472,6
Shop_40462,2929
Shop_56450,1436
Shop_2212,66980
Shop_5766,31727
Shop_94005,248
Shop_62901,1092
Shop_64239,1033
Shop_15376,12073
Shop_3358,49277
Shop_28018,5414
Shop_112840,79
Shop_43598,2540
Shop_112757,80
Shop_60145,1228
Shop_17282,10491
Shop_29493,5004
Shop_65405,982
Shop_52162,1736
Shop_108102,109
Shop_23080,7172
Shop_25707,6154
Shop_42464,2674
Shop_120780,44
Shop_12769,14927
Shop_71649,742
Shop_1933,72720
Shop_62730,1100
Shop_103738,143
Shop_52760,1692
Shop_109935,97
Shop_43631,2536
Shop_6581,28305
Shop_3485,47813
Shop_49123,1984
Shop_75400,625
Shop_51510,1786
Shop_99453,183
Shop_84953,394
Shop_73193,693
Shop_80502,490
Shop_89427,315
Shop_90707,295
Shop_284,222992
Shop_38559,3205
Shop_97483,205
Shop_20534,8452
Shop_86076,372
Shop_74680,646
Shop_108005,110
Shop_146549,2
Shop_24646,6525
Shop_53248,1656
Shop_30017,4875
Shop_86146,371
Shop_98271,196
Shop_10437,18512
Shop_17160,10577
Shop_30074,4863
Shop_86125,371
Shop_104971,133
Shop_133661,13
Shop_55948,1468
Shop_87671,343
Shop_25247,6311
Shop_41433,2802
Shop_4216,41130
Shop_87101,353
Shop_33075,4165
Shop_2368,63556
Shop_56278,1447
Shop_14770,12622
Shop_50573,1857
Shop_78964,528
Shop_58623,1308
Shop_71028,762
Shop_73647,677
Shop_46489,2230
Shop_80603,488
Shop_21817,7770
Shop_17889,10047
Shop_119738,48
Shop_57654,1364
Shop_48999,1993
Shop_142406,4
Shop_88218,334
Shop_780,129618
Shop_114102,72
Shop_104205,139
Shop_54051,1598
Shop_15983,11507
Shop_118216,54
Shop_9209,21036
Shop_60682,1200
Shop_99888,179
Shop_79463,516
Shop_113321,76
Shop_38230,3253
Shop_145831,2
Shop_74524,650
Shop_38986,3138
Shop_94354,243
Shop_64066,1040
Shop_64067,1040
Shop_109079,103
Shop_35593,3683
Shop_61376,1166
Shop_18038,9946
Shop_88452,330
Shop_69514,818
Shop_65578,975
Shop_130313,19
Shop_75719,616
Shop_101179,166
Shop_118052,54
Shop_118390,53
Shop_49168,1980
Shop_129175,21
Shop_83359,428
Shop_94342,243
Shop_95263,232
Shop_131935,16
Shop_100412,174
Shop_121061,43
Shop_134822,11
Shop_64089,1039
Shop_23472,7018
Shop_42167,2708
Shop_6721,27814
Shop_24008,6788
Shop_114181,72
Shop_115956,63
Shop_31196,4593
Shop_31066,4622
Shop_89725,310
Shop_3676,45969
Shop_66165,950
Shop_42461,2674
Shop_57699,1362
Shop_84963,394
Shop_161,311357
Shop_59144,1280
Shop_82631,442
Shop_93010,261
Shop_1222,98599
Shop_62411,1115
Shop_56798,1415
Shop_14396,13023
Shop_70948,765
Shop_134340,12
Shop_108481,107
Shop_133283,14
Shop_105689,127
Shop_16480,11100
Shop_7653,24876
Shop_77348,570
Shop_63896,1048
Shop_52632,1702
Shop_4112,41953
Shop_2712,57531
Shop_79801,508
Shop_55854,1474
Shop_43276,2578
Shop_73263,691
Shop_55915,1470
Shop_16124,11383
Shop_84097,411
Shop_105046,132
Shop_3072,52609
Shop_105603,128
Shop_54004,1602
Shop_82404,447
Shop_74266,658
Shop_128662,22
Shop_93577,253
Shop_139089,7
Shop_17739,10159
Shop_36510,3532
Shop_123166,36
Shop_36120,3596
Shop_93616,253
Shop_20558,8434
Shop_58527,1313
Shop_12651,15092
Shop_10871,17744
Shop_13192,14376
Shop_6647,28052
Shop_71531,746
Shop_79481,516
Shop_92260,271
Shop_50732,1843
Shop_51785,1764
Shop_86966,356
Shop_48891,2002
Shop_95232,232
Shop_123667,35
Shop_74223,660
Shop_55846,1475
Shop_72490,715
Shop_96352,219
Shop_30959,4647
Shop_68280,865
Shop_6284,29545
Shop_114342,71
Shop_61109,1180
Shop_147215,2
Shop_79574,513
Shop_90540,297
Shop_78711,534
Shop_65074,998
Shop_66332,942
Shop_10256,18893
Shop_55090,1526
Shop_60572,1206
Shop_92244,271
Shop_85620,381
Shop_34831,3818
Shop_113087,78
Shop_21957,7701
Shop_78718,534
Shop_11483,16755
Shop_39507,3066
Shop_85627,381
Shop_72406,718
Shop_133212,14
Shop_85218,389
Shop_63161,1080
Shop_33204,4138
Shop_31974,4402
Shop_32419,4303
Shop_82586,443
Shop_103734,143
Shop_103735,143
Shop_38637,3190
Shop_102102,157
Shop_5021,35688
Shop_15932,11563
Shop_102095,157
Shop_42355,2687
Shop_12230,15654
Shop_54018,1601
Shop_86479,365
Shop_95898,224
Shop_130976,17
Shop_83059,433
Shop_55122,1524
Shop_106916,118
Shop_51865,1758
Shop_8054,23818
Shop_36186,3586
Shop_46132,2266
Shop_70193,792
Shop_47177,2159
Shop_125592,29
Shop_96604,215
Shop_70137,793
Shop_94130,246
Shop_130053,19
Shop_89815,309
Shop_89828,309
Shop_79000,527
Shop_40546,2917
Shop_23740,6893
Shop_27873,5460
Shop_29333,5049
Shop_2054,70535
Shop_130577,18
Shop_20296,8585
Shop_38689,3183
Shop_115657,65
Shop_115658,65
Shop_78178,548
Shop_47496,2130
Shop_37801,3323
Shop_80412,492
Shop_47345,2143
Shop_2147,68275
Shop_80692,486
Shop_122553,38
Shop_43367,2568
Shop_61049,1182
Shop_41687,2770
Shop_146465,2
Shop_20137,8659
Shop_113293,77
Shop_77418,568
Shop_54026,1600
Shop_49398,1959
Shop_30839,4675
Shop_40460,2929
Shop_3135,51853
Shop_4350,40095
Shop_21000,8181
Shop_47059,2171
Shop_38171,3264
Shop_2146,68282
Shop_110336,94
Shop_27410,5598
Shop_57981,1345
Shop_139483,6
Shop_64855,1007
Shop_62767,1098
Shop_116492,61
Shop_112324,82
Shop_95591,228
Shop_25370,6267
Shop_78131,549
Shop_105249,131
Shop_54213,1586
Shop_74168,661
Shop_87942,339
Shop_86649,361
Shop_56791,1415
Shop_24385,6623
Shop_22194,7581
Shop_40008,2992
Shop_56467,1435
Shop_47678,2112
Shop_45735,2304
Shop_52909,1681
Shop_29148,5098
Shop_93746,251
Shop_86495,364
Shop_114336,71
Shop_89321,316
Shop_69740,808
Shop_36583,3521
Shop_33559,4069
Shop_97774,201
Shop_79022,526
Shop_76966,579
Shop_28563,5264
Shop_76128,603
Shop_113462,76
Shop_38245,3251
Shop_88620,327
Shop_76908,581
Shop_49166,1980
Shop_8719,22105
Shop_42376,2685
Shop_32291,4331
Shop_109487,100
Shop_56570,1429
Shop_134167,12
Shop_70441,783
Shop_146326,2
Shop_77244,573
Shop_71765,738
Shop_110552,93
Shop_98996,188
Shop_71115,759
Shop_111378,88
Shop_32300,4329
Shop_86050,373
Shop_86308,368
Shop_113059,78
Shop_113407,76
Shop_113408,76
Shop_127067,26
Shop_30252,4821
Shop_25220,6320
Shop_47451,2134
Shop_161447,
Shop_20952,8210
Shop_16947,10733
Shop_17012,10682
Shop_41956,2736
Shop_36152,3591
Shop_83347,428
Shop_101755,161
Shop_24903,6434
Shop_49393,1960
Shop_11654,16504
Shop_13950,13524
Shop_48672,2020
Shop_85078,392
Shop_106369,122
Shop_47096,2168
Shop_14297,13139
Shop_96277,219
Shop_119398,49
Shop_43416,2562
Shop_104433,137
Shop_59761,1248
Shop_65985,957
Shop_14939,12461
Shop_10743,17957
Shop_56721,1420
Shop_117459,57
Shop_62444,1114
Shop_41126,2844
Shop_85245,389
Shop_5557,32762
Shop_61398,1165
Shop_106482,121
Shop_41626,2776
Shop_21095,8126
Shop_49756,1928
Shop_3882,43914
Shop_11140,17299
Shop_122753,38
Shop_44124,2482
Shop_17970,9986
Shop_26637,5844
Shop_110983,90
Shop_78772,533
Shop_38534,3210
Shop_47831,2097
Shop_57446,1376
Shop_53786,1618
Shop_6493,28652
Shop_33046,4172
Shop_37490,3368
Shop_19406,9082
Shop_71927,733
Shop_81199,475
Shop_63019,1087
Shop_36727,3495
Shop_55363,1508
Shop_84472,404
Shop_25061,6379
Shop_36789,3484
Shop_79906,505
Shop_32162,4359
Shop_74926,639
Shop_22118,7630
Shop_57757,1358
Shop_114066,72
Shop_131667,16
Shop_93543,254
Shop_30840,4675
Shop_31956,4406
Shop_90978,291
Shop_131953,16
Shop_87054,354
Shop_87048,354
Shop_102011,158
Shop_61314,1169
Shop_30335,4800
Shop_89040,321
Shop_140894,5
Shop_114234,72
Shop_109463,100
Shop_96086,222
Shop_94735,238
Shop_68503,856
Shop_7506,25339
Shop_106079,124
Shop_32831,4213
Shop_61016,1184
Shop_61182,1175
Shop_26499,5881
Shop_14377,13039
Shop_107462,114
Shop_99821,180
Shop_40141,2978
Shop_18737,9490
Shop_23709,6907
Shop_49699,1933
Shop_149301,1
Shop_89811,309
Shop_42582,2660
Shop_45939,2285
Shop_22678,7361
Shop_152530,
Shop_22986,7220
Shop_111185,89
Shop_86962,356
Shop_54287,1582
Shop_1702,79001
Shop_3957,43232
Shop_44677,2418
Shop_50530,1860
Shop_29161,5095
Shop_91038,290
Shop_32753,4230
Shop_54281,1582
Shop_114764,69
Shop_88852,324
Shop_64025,1042
Shop_41527,2788
Shop_25210,6324
Shop_7362,25807
Shop_24013,6785
Shop_34859,3811
Shop_4639,38115
Shop_26818,5793
Shop_3236,50523
Shop_46549,2224
Shop_144192,3
Shop_82229,451
Shop_42006,2731
Shop_32789,4222
Shop_43992,2497
Shop_49149,1982
Shop_44995,2381
Shop_31231,4583
Shop_60623,1203
Shop_67125,911
Shop_77121,575
Shop_70184,792
Shop_114595,70
Shop_42086,2720
Shop_30169,4840
Shop_81061,478
Shop_21688,7830
Shop_19838,8825
Shop_19633,8937
Shop_77410,569
Shop_79002,527
Shop_23318,7076
Shop_95770,225
Shop_34519,3877
Shop_95771,225
Shop_100266,175
Shop_117225,58
Shop_74812,642
Shop_21474,7931
Shop_3362,49232
Shop_1744,77770
Shop_41907,2741
Shop_92504,268
Shop_64193,1035
Shop_75678,617
Shop_34280,3923
Shop_23898,6827
Shop_37216,3411
Shop_37824,3319
Shop_84745,398
Shop_24956,6419
Shop_33258,4127
Shop_81081,477
Shop_42788,2635
Shop_17304,10472
Shop_52252,1728
Shop_89281,317
Shop_76538,591
Shop_63762,1054
Shop_62523,1110
Shop_18626,9562
Shop_2196,67157
Shop_27502,5573
Shop_91602,281
Shop_27897,5450
Shop_62000,1135
Shop_59807,1245
Shop_27752,5497
Shop_112715,80
Shop_91755,279
Shop_98654,192
Shop_5069,35424
Shop_66147,951
Shop_65336,985
Shop_142065,4
Shop_122301,39
Shop_43137,2593
Shop_111014,90
Shop_21016,8176
Shop_117486,57
Shop_82946,436
Shop_67549,894
Shop_121524,42
Shop_48539,2033
Shop_120442,45
Shop_46850,2194
Shop_9357,20712
Shop_131220,17
Shop_31110,4613
Shop_123621,35
Shop_26699,5822
Shop_48755,2013
Shop_106373,122
Shop_36309,3565
Shop_93018,260
Shop_77073,577
Shop_45659,2313
Shop_93652,252
Shop_22142,7613
Shop_95576,228
Shop_140125,6
Shop_58702,1304
Shop_24403,6616
Shop_43174,2590
Shop_21137,8104
Shop_9998,19363
Shop_103285,147
Shop_18031,9952
Shop_4692,37821
Shop_18495,9661
Shop_18599,9578
Shop_65090,997
Shop_38613,3195
Shop_69787,807
Shop_43670,2531
Shop_130592,18
Shop_90903,292
Shop_143296,3
Shop_18306,9773
Shop_134621,12
Shop_17221,10539
Shop_30174,4839
Shop_38903,3150
Shop_74750,644
Shop_108747,105
Shop_55916,1470
Shop_30326,4802
Shop_64749,1012
Shop_32885,4200
Shop_6485,28679
Shop_29366,5041
Shop_88202,335
Shop_47523,2127
Shop_6889,27338
Shop_84287,407
Shop_23794,6866
Shop_48409,2045
Shop_142806,4
Shop_41086,2849
Shop_74499,651
Shop_37584,3354
Shop_6882,27353
Shop_50572,1857
Shop_4378,39889
Shop_96448,217
Shop_39165,3114
Shop_93633,253
Shop_106179,123
Shop_63766,1054
Shop_102049,158
Shop_89109,320
Shop_113333,76
Shop_25930,6073
Shop_35909,3627
Shop_46321,2248
Shop_47665,2113
Shop_1325,93875
Shop_51962,1750
Shop_104088,140
Shop_116950,59
Shop_24613,6535
Shop_62311,1120
Shop_111105,89
Shop_82162,452
Shop_76542,591
Shop_62598,1106
Shop_32874,4202
Shop_113265,77
Shop_88431,331
Shop_43580,2542
Shop_31774,4447
Shop_105751,127
Shop_81546,467
Shop_28865,5182
Shop_40227,2965
Shop_68282,865
Shop_40615,2907
Shop_13524,13965
Shop_27787,5488
Shop_33681,4044
Shop_18508,9652
Shop_544,159471
Shop_84134,410
Shop_31689,4467
Shop_37214,3412
Shop_56245,1450
Shop_10386,18591
Shop_54012,1601
Shop_78268,545
Shop_2699,57679
Shop_71837,736
Shop_29580,4981
Shop_15077,12343
Shop_29928,4897
Shop_35823,3642
Shop_12917,14726
Shop_65259,989
Shop_130566,18
Shop_16653,10969
Shop_89293,317
Shop_1793,76610
Shop_3141,51737
Shop_84811,397
Shop_11372,16921
Shop_25934,6072
Shop_90095,305
Shop_19692,8903
Shop_34089,3960
Shop_115996,63
Shop_18069,9919
Shop_92641,265
Shop_73398,686
Shop_18598,9579
Shop_128552,22
Shop_129570,20
Shop_51276,1803
Shop_54296,1581
Shop_54470,1568
Shop_34545,3869
Shop_63246,1076
Shop_76635,589
Shop_51391,1794
Shop_68745,847
Shop_110905,91
Shop_8825,21846
Shop_98820,190
Shop_117351,57
Shop_110823,91
Shop_53923,1607
Shop_78387,542
Shop_10718,18001
Shop_96308,219
Shop_60764,1196
Shop_72586,712
Shop_111739,86
Shop_38962,3142
Shop_100445,173
Shop_122758,38
Shop_120346,46
Shop_57848,1354
Shop_94500,241
Shop_79864,506
Shop_143710,3
Shop_96870,212
Shop_129869,20
Shop_143354,3
Shop_112527,81
Shop_92714,264
Shop_48675,2020
Shop_112570,81
Shop_17467,10359
Shop_101312,165
Shop_82683,441
Shop_93166,259
Shop_20772,8309
Shop_61054,1182
Shop_21953,7703
Shop_50537,1859
Shop_85961,375
Shop_88076,337
Shop_5267,34269
Shop_74782,643
Shop_33259,4127
Shop_93439,255
Shop_33443,4092
Shop_77694,561
Shop_28535,5271
Shop_85975,374
Shop_40427,2936
Shop_54648,1557
Shop_41908,2741
Shop_29001,5139
Shop_59837,1243
Shop_83913,415
Shop_77286,572
Shop_69897,802
Shop_46272,2253
Shop_66535,935
Shop_40334,2949
Shop_59164,1278
Shop_22577,7407
Shop_11530,16689
Shop_70700,773
Shop_75867,611
Shop_14011,13434
Shop_20457,8497
Shop_68224,867
Shop_20341,8562
Shop_72541,714
Shop_49557,1945
Shop_57091,1399
Shop_46968,2181
Shop_24649,6525
Shop_99331,185
Shop_73948,668
Shop_1846,75163
Shop_39720,3035
Shop_115766,64
Shop_115729,64
Shop_112435,81
Shop_14197,13236
Shop_137446,8
Shop_86465,365
Shop_6965,27040
Shop_18760,9475
Shop_95343,231
Shop_47884,2092
Shop_82426,446
Shop_25038,6386
Shop_59683,1251
Shop_7686,24817
Shop_78678,535
Shop_51493,1787
Shop_90967,291
Shop_49949,1911
Shop_81188,475
Shop_41277,2823
Shop_51366,1796
Shop_21378,7976
Shop_40707,2892
Shop_20253,8605
Shop_41763,2760
Shop_76596,590
Shop_66276,945
Shop_17340,10454
Shop_23566,6973
Shop_19983,8745
Shop_36882,3468
Shop_58736,1302
Shop_18112,9895
Shop_34560,3866
Shop_34003,3978
Shop_75082,634
Shop_109939,97
Shop_84050,412
Shop_19804,8845
Shop_76574,590
Shop_85090,391
Shop_71966,732
Shop_73023,699
Shop_61628,1153
Shop_26302,5951
Shop_41363,2810
Shop_69911,802
Shop_26859,5779
Shop_65916,960
Shop_39756,3029
Shop_132889,14
Shop_80106,500
Shop_97317,206
Shop_82039,455
Shop_25346,6279
Shop_52592,1705
Shop_120330,46
Shop_87899,340
Shop_16328,11221
Shop_27864,5463
Shop_8359,22966
Shop_2089,69505
Shop_28316,5329
Shop_78015,552
Shop_91384,284
Shop_147401,2
Shop_107717,112
Shop_16549,11044
Shop_120042,47
Shop_112196,83
Shop_81640,464
Shop_46210,2257
Shop_125962,28
Shop_133892,13
Shop_124569,32
Shop_74763,644
Shop_45646,2314
Shop_124608,32
Shop_24010,6787
Shop_80715,486
Shop_124652,32
Shop_56767,1418
Shop_42082,2720
Shop_10162,19061
Shop_41206,2833
Shop_66445,938
Shop_50642,1850
Shop_53800,1617
Shop_29208,5080
Shop_37292,3398
Shop_5782,31648
Shop_78824,532
Shop_39822,3019
Shop_29867,4909
Shop_57225,1389
Shop_49580,1942
Shop_86475,365
Shop_15332,12107
Shop_25715,6151
Shop_68707,848
Shop_52613,1703
Shop_112072,84
Shop_70589,777
Shop_122209,39
Shop_81532,467
Shop_100899,169
Shop_22102,7635
Shop_107967,110
Shop_92443,268
Shop_9746,19814
Shop_25201,6326
Shop_46592,2219
Shop_64022,1042
Shop_48465,2040
Shop_73819,672
Shop_34743,3832
Shop_44942,2388
Shop_48378,2048
Shop_89431,315
Shop_10084,19219
Shop_3592,46817
Shop_100946,168
Shop_79363,518
Shop_31288,4568
Shop_22162,7601
Shop_87806,341
Shop_63922,1046
Shop_6349,29249
Shop_21807,7775
Shop_92211,272
Shop_93648,252
Shop_66366,941
Shop_52359,1720
Shop_66992,916
Shop_88254,334
Shop_60418,1214
Shop_87707,343
Shop_50620,1852
Shop_43564,2544
Shop_129164,21
Shop_54058,1598
Shop_2435,62489
Shop_55412,1505
Shop_107559,113
Shop_9863,19609
Shop_101541,163
Shop_9885,19571
Shop_129965,19
Shop_95737,226
Shop_134553,12
Shop_104250,139
Shop_89801,309
Shop_125166,30
Shop_75541,621
Shop_134366,12
Shop_126349,27
Shop_103828,142
Shop_139187,7
Shop_75789,614
Shop_50778,1840
Shop_10713,18009
Shop_114796,69
Shop_85834,377
Shop_114555,70
Shop_59816,1244
Shop_105481,129
Shop_97401,205
Shop_47217,2155
Shop_126346,27
Shop_79849,506
Shop_113949,73
Shop_71318,752
Shop_56261,1448
Shop_138787,7
Shop_85877,376
Shop_121867,40
Shop_109759,98
Shop_146231,2
Shop_142223,4
Shop_40791,2883
Shop_91610,281
Shop_47792,2100
Shop_99834,180
Shop_48842,2005
Shop_59048,1285
Shop_51622,1776
Shop_49200,1977
Shop_91865,277
Shop_4130,41827
Shop_106784,119
Shop_128358,23
Shop_108949,104
Shop_31044,4626
Shop_2609,59445
Shop_97716,202
Shop_27398,5601
Shop_54905,1539
Shop_11354,16944
Shop_92269,271
Shop_64233,1033
Shop_42915,2621
Shop_42916,2621
Shop_45485,2329
Shop_49541,1946
Shop_42454,2675
Shop_50849,1835
Shop_69784,807
Shop_102706,152
Shop_67322,903
Shop_67248,906
Shop_19781,8860
Shop_40769,2886
Shop_67369,902
Shop_84396,405
Shop_51464,1789
Shop_39124,3120
Shop_25860,6092
Shop_65526,977
Shop_43259,2579
Shop_89794,309
Shop_138956,7
Shop_40644,2904
Shop_84129,410
Shop_103861,142
Shop_1290,95162
Shop_44476,2441
Shop_37145,3423
Shop_80691,486
Shop_10577,18255
Shop_25684,6162
Shop_123452,35
Shop_56556,1430
Shop_96158,221
Shop_32639,4252
Shop_14178,13255
Shop_15962,11527
Shop_132129,15
Shop_132130,15
Shop_99748,180
Shop_60593,1204
Shop_61872,1142
Shop_71609,743
Shop_129459,20
Shop_5604,32504
Shop_99691,181
Shop_20835,8277
Shop_66994,916
Shop_59305,1272
Shop_77965,554
Shop_88469,330
Shop_53602,1630
Shop_18211,9835
Shop_7523,25278
Shop_48911,2000
Shop_83973,413
Shop_149156,1
Shop_27118,5696
Shop_102505,154
Shop_80565,489
Shop_17743,10156
Shop_89416,315
Shop_21850,7754
Shop_141654,5
Shop_78211,547
Shop_48392,2047
Shop_107388,114
Shop_54145,1591
Shop_55002,1532
Shop_92313,270
Shop_84265,408
Shop_89142,319
Shop_12453,15334
Shop_7965,24077
Shop_18076,9914
Shop_26184,5992
Shop_112015,84
Shop_50587,1856
Shop_71852,736
Shop_50599,1854
Shop_49325,1966
Shop_58690,1304
Shop_120655,44
Shop_29200,5083
Shop_65579,975
Shop_50643,1850
Shop_58735,1302
Shop_23230,7114
Shop_46098,2268
Shop_86730,360
Shop_13916,13560
Shop_55015,1531
Shop_82413,447
Shop_14785,12610
Shop_27592,5544
Shop_9180,21126
Shop_34175,3941
Shop_9376,20671
Shop_61447,1162
Shop_55032,1530
Shop_15107,12314
Shop_105945,125
Shop_22390,7495
Shop_120959,43
Shop_4148,41637
Shop_61902,1140
Shop_8291,23192
Shop_52358,1720
Shop_41645,2774
Shop_1462,87957
Shop_53528,1637
Shop_11732,16385
Shop_48260,2058
Shop_28528,5273
Shop_21376,7976
Shop_20773,8309
Shop_85097,391
Shop_123619,35
Shop_103271,147
Shop_236,244611
Shop_10984,17533
Shop_22728,7337
Shop_17188,10561
Shop_20846,8269
Shop_25940,6071
Shop_28380,5310
Shop_43082,2601
Shop_14712,12685
Shop_33336,4113
Shop_45720,2305
Shop_6673,27968
Shop_6938,27128
Shop_6752,27705
Shop_23738,6894
Shop_3032,53163
Shop_10583,18243
Shop_48835,2006
Shop_849,122904
Shop_96760,214
Shop_6524,28505
Shop_26471,5888
Shop_2091,69477
Shop_21447,7942
Shop_7968,24065
Shop_8962,21557
Shop_40064,2986
Shop_29704,4946
Shop_6666,27990
Shop_34664,3847
Shop_28377,5312
Shop_16514,11071
Shop_64667,1015
Shop_39028,3133
Shop_968,112989
Shop_8044,23849
Shop_65271,988
Shop_8853,21785
Shop_18427,9711
Shop_47991,2081
Shop_62723,1101
Shop_4049,42458
Shop_4957,36036
Shop_3472,47896
Shop_1918,73183
